CD 1 1 2.777777777777778e-05 2.777777777777778e-05 2.777777777777778e-05 2.777777777777778e-05 2.777777777777778e-05 2.777777777777778e-05 2.777777777777778e-05 2.777777777777778e-05 2.777777777777778e-05 2.777777777777778e-05 2.777777777777778e-05 2.777777777777778e-05 2.777777777777778e-05 2.777777777777778e-05 2.777777777777778e-05 2.777777777777778e-05 2.777777777777778e-05 2.777777777777778e-05 2.777777777777778e-05 2.777777777777778e-05 2.777777777777778e-05 2.777777777777778e-05 2.777777777777778e-05 2.777777777777778e-05 2.777777777777778e-05 2.777777777777778e-05 2.777777777777778e-05 2.777777777777778e-05 2.777777777777778e-05 2.777777777777778e-05 2.777777777777778e-05 2.777777777777778e-05 2.777777777777778e-05 2.777777777777778e-05 2.777777777777778e-05 2.777777777777778e-05
CD 1 2 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
CD 2 1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
CD 2 2 2.777777777777778e-05 2.777777777777778e-05 2.777777777777778e-05 2.777777777777778e-05 2.777777777777778e-05 2.777777777777778e-05 2.777777777777778e-05 2.777777777777778e-05 2.777777777777778e-05 2.777777777777778e-05 2.777777777777778e-05 2.777777777777778e-05 2.777777777777778e-05 2.777777777777778e-05 2.777777777777778e-05 2.777777777777778e-05 2.777777777777778e-05 2.777777777777778e-05 2.777777777777778e-05 2.777777777777778e-05 2.777777777777778e-05 2.777777777777778e-05 2.777777777777778e-05 2.777777777777778e-05 2.777777777777778e-05 2.777777777777778e-05 2.777777777777778e-05 2.777777777777778e-05 2.777777777777778e-05 2.777777777777778e-05 2.777777777777778e-05 2.777777777777778e-05 2.777777777777778e-05 2.777777777777778e-05 2.777777777777778e-05 2.777777777777778e-05
PV 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
PV 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
PV 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
PV 1 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
PV 1 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
PV 1 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
PV 1 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
PV 1 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
PV 1 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
PV 1 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
PV 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
PV 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
PV 2 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
PV 2 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
PV 2 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
PV 2 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
PV 2 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
PV 2 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
PV 2 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
PV 2 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
